Day,Sales,Trading Profit,Operating Expense,Net Profit
11,1303577,737950,519958,217992
12,1455365,829548,554437,275111
13,1607733,921899,584886,337013
14,1895486,1085432,623135,462297
15,2275729,1352386,660684,691702
16,2557020,1519364,698305,821059
17,2846570,1679908,737854,942054
18,3135738,1230322,1479277,-247928
19,3555821,1545524,1534157,12908
20,3882873,1501463,1587828,-85851
21,4253182,1624488,1628072,-3327
22,4877051,2117097,1669658,447439
23,5256880,1985489,1738259,247230
24,5710441,2229502,1793161,437368
25,6124065,2513189,1856796,656393
26,6946812,3251511,1981751,1269760
27,7328959,3671202,2047306,1623896
28,7854369,4089271,2113065,1976206
29,8510402,4550249,2177719,2372530
30,9258279,5067741,2264955,2802786
31,10934656,6596780,2424169,4172611
32,11631594,6963067,2496721,4466346
33,14997615,8719626,2631061,6088565
34,17764502,10943716,2801441,8142275
35,20707245,13444574,2939188,10505386
36,21389479,14041469,2995602,11045867
37,22155760,14635859,3072925,11562934
38,22903612,15220423,3131395,12089028
39,23705531,15721154,3193640,12527514
40,24507719,16358766,3255046,13103720
41,25305464,17125995,3480572,13645423
42,26110651,17749139,3543774,14205365
43,27024847,18088883,3746523,14342360
44,31464942,21232985,3858489,17374496
45,35641523,24317370,4321835,19995535
46,36936528,25422649,4405357,21017292
47,37857020,26152337,4467454,21684883
48,38682170,26125472,4553108,21572364
49,39540263,26804172,4630341,22173831
50,41435421,28518469,4742574,23775895
51,42267064,29168754,4825933,24342821
52,46389641,32505964,4979345,27526619
53,50251248,35687250,5042422,30644828
54,51998478,37084900,5105657,31979243
55,52661013,36488317,5514222,30974095
56,53562946,37203013,5576683,31626330
57,56270329,39727568,5646765,34080803
58,57304091,40295442,5796858,34498584
59,58286044,40853214,5989376,34863838
60,59718079,41646648,6103535,35543113
61,61115460,42850439,6197958,36652481
62,63108129,44159645,6317998,37841647
63,64877414,45737586,6389776,39347810
64,66191303,46866786,6455171,40411615
65,71855976,51625970,6520698,45105272
66,73010511,52594140,6590406,46003734
67,74163714,53562028,6658038,46903990
68,75289093,54514604,6755848,47758756
69,76428084,54641707,6853656,47788051
70,80086736,57725963,6920632,50805331
71,83767532,60766096,7073640,53692456
72,87493430,63931310,7155679,56775631
73,88646709,64291179,7250878,57040301
74,90936708,66401786,7326468,59075318
75,92976976,68261031,7497342,60763689
76,94116590,69221604,7566649,61654955
77,95280839,70204401,7634210,62570191
78,96475282,70558330,7813004,62745326
79,97566952,71481371,7878800,63602571
80,98651088,71906984,8342706,63564278
81,100440075,72329833,8494428,63835405
82,101735282,72990000,8577901,64412099
83,103950170,75045448,8665445,66380003
84,107269106,77968090,8766628,69201462
85,110286762,80564730,8851151,71713579
86,112526393,81792227,9211314,72580913
87,114124756,83203989,9296593,73907396
88,116136437,85032279,9375478,75673448
89,118813459,87532606,9522538,78007215
90,120157087,88708744,9595181,79150710
